age, man, woman
1, 0.17, 0.17
2, 0.4, 0.4
3, 0.45, 0.45
4, 0.58, 0.58
5, 0.51, 0.51
6, 0.65, 0.65
7, 0.66, 0.66
8, 0.67, 0.67
9, 0.78, 0.78
10, 0.8, 0.8
11, 0.81, 0.81
12, 0.91, 0.91
13, 0.96, 0.96
14, 0.84, 0.84
15, 0.89, 0.89
16, 1.16, 1.16
17, 0.97, 0.97
18, 1.17, 1.17
19, 1.17, 1.17
20, 1.12, 1.12
21, 1.17, 1.17
22, 1.13, 1.13
23, 1.23, 1.23
24, 1.27, 1.27
25, 1.06, 1.06
26, 0.85, 0.85
27, 1.03, 1.03
28, 1.17, 1.17
29, 1.11, 1.11
30, 1.04, 1.04
31, 1.03, 1.03
32, 1.15, 1.15
33, 1.03, 1.03
34, 1.22, 1.22
35, 1.02, 1.02
36, 1.31, 1.31
37, 1.22, 1.22
38, 1.3, 1.3
39, 1.12, 1.12
40, 1.05, 1.05
41, 1.16, 1.16
42, 0.85, 0.85
43, 0.88, 0.88
44, 1.19, 1.19
45, 0.94, 0.94
46, 1.09, 1.09
47, 0.92, 0.92
48, 1.05, 1.05
49, 1.15, 1.15
50, 1.1, 1.1
51, 0.93, 0.93
52, 0.96, 0.96
53, 1.06, 1.06
54, 0.97, 0.97
55, 0.95, 0.95
56, 0.94, 0.94
57, 0.99, 0.99
58, 0.99, 0.99
59, 1.04, 1.04
60, 0.92, 0.92
61, 0.71, 0.71
62, 0.91, 0.91
63, 0.86, 0.86
64, 0.81, 0.81
65, 0.99, 0.99
66, 0.89, 0.89
67, 0.83, 0.83
68, 0.74, 0.74
69, 0.72, 0.72
70, 0.65, 0.65
71, 0.81, 0.81
72, 0.87, 0.87
73, 0.8, 0.8
74, 0.82, 0.82
75, 0.71, 0.71
76, 0.71, 0.71
77, 0.64, 0.64
78, 0.56, 0.56
79, 0.63, 0.63
80, 0.53, 0.53
81, 0.7, 0.7
82, 0.69, 0.69
83, 0.67, 0.67
84, 0.71, 0.71
85, 0.64, 0.64
86, 0.55, 0.55
87, 0.61, 0.61
88, 0.71, 0.71
89, 0.49, 0.49
90, 0.51, 0.51
91, 0.48, 0.48
92, 0.62, 0.62
93, 0.61, 0.61
94, 0.43, 0.43
95, 0.56, 0.56
96, 0.4, 0.4
97, 0.58, 0.58
98, 0.46, 0.46
99, 0.5, 0.5
100, 0.52, 0.52
