age, man, woman
8, 1.58, 1.58
9, 1.3, 1.3
10, 1.35, 1.35
11, 1.24, 1.24
12, 1.07, 1.07
13, 1.27, 1.27
14, 0.89, 0.89
15, 0.88, 0.88
16, 0.94, 0.94
17, 0.8, 0.8
18, 0.78, 0.78
19, 0.68, 0.68
20, 0.83, 0.83
21, 0.59, 0.59
22, 0.67, 0.67
23, 0.64, 0.64
24, 0.55, 0.55
25, 0.55, 0.55
26, 0.65, 0.65
27, 0.6, 0.6
28, 0.62, 0.62
29, 0.48, 0.48
30, 0.52, 0.52
31, 0.41, 0.41
32, 0.39, 0.39
33, 0.61, 0.61
34, 0.43, 0.43
35, 0.35, 0.35
36, 0.43, 0.43
37, 0.44, 0.44
38, 0.34, 0.34
39, 0.28, 0.28
40, 0.36, 0.36
41, 0.43, 0.43
42, 0.41, 0.41
43, 0.38, 0.38
44, 0.37, 0.37
45, 0.38, 0.38
46, 0.33, 0.33
47, 0.29, 0.29
48, 0.3, 0.3
49, 0.3, 0.3
50, 0.29, 0.29
51, 0.24, 0.24
52, 0.37, 0.37
53, 0.28, 0.28
54, 0.29, 0.29
55, 0.35, 0.35
56, 0.32, 0.32
57, 0.31, 0.31
58, 0.3, 0.3
59, 0.33, 0.33
60, 0.18, 0.18
61, 0.31, 0.31
62, 0.22, 0.22
63, 0.25, 0.25
64, 0.22, 0.22
65, 0.18, 0.18
66, 0.24, 0.24
67, 0.21, 0.21
68, 0.27, 0.27
69, 0.23, 0.23
70, 0.21, 0.21
71, 0.32, 0.32
72, 0.21, 0.21
73, 0.24, 0.24
74, 0.18, 0.18
75, 0.17, 0.17
76, 0.25, 0.25
77, 0.21, 0.21
78, 0.19, 0.19
79, 0.16, 0.16
80, 0.27, 0.27
81, 0.16, 0.16
82, 0.15, 0.15
83, 0.26, 0.26
84, 0.17, 0.17
85, 0.24, 0.24
86, 0.14, 0.14
87, 0.19, 0.19
88, 0.12, 0.12
89, 0.12, 0.12
90, 0.1, 0.1
91, 0.15, 0.15
92, 0.19, 0.19
93, 0.19, 0.19
94, 0.11, 0.11
95, 0.15, 0.15
96, 0.18, 0.18
97, 0.11, 0.11
98, 0.14, 0.14
99, 0.12, 0.12
100, 0.13, 0.13
